County,Date,New Cases,New Positive Tests,Total Test Encounters
Honolulu,7/16/2020,21,17,1713
Honolulu,7/17/2020,18,21,1339
Honolulu,7/18/2020,26,26,1333
Honolulu,7/19/2020,11,11,921
Honolulu,7/20/2020,21,24,1239
Honolulu,7/21/2020,17,23,1363
Honolulu,7/22/2020,50,43,1658
Honolulu,7/23/2020,57,57,1359
Honolulu,7/24/2020,67,68,1674
Honolulu,7/25/2020,55,53,1302
Honolulu,7/26/2020,28,45,959
Honolulu,7/27/2020,46,38,851
Honolulu,7/28/2020,99,97,1650
Honolulu,7/29/2020,119,112,1805
Honolulu,7/30/2020,119,130,1944
Honolulu,7/31/2020,87,91,1895
Honolulu,8/1/2020,44,113,2020
Honolulu,8/2/2020,198,122,1563
Honolulu,8/3/2020,139,142,1787
Honolulu,8/4/2020,169,157,2585
Honolulu,8/5/2020,145,170,2584
Honolulu,8/6/2020,200,216,2306
Honolulu,8/7/2020,221,202,2473
Honolulu,8/8/2020,146,135,2077
Honolulu,8/9/2020,137,140,2006
Honolulu,8/10/2020,115,139,2053
Honolulu,8/11/2020,195,190,2806
Honolulu,8/12/2020,342,334,3644
Honolulu,8/13/2020,217,225,2682
Honolulu,8/14/2020,272,290,3503
Honolulu,8/15/2020,200,197,2716
Honolulu,8/16/2020,163,169,2348
Honolulu,8/17/2020,125,138,2041
Honolulu,8/18/2020,232,227,2349
Honolulu,8/19/2020,228,227,2657
Honolulu,8/20/2020,208,194,2682
Honolulu,8/21/2020,255,294,3066
Honolulu,8/22/2020,227,228,2608
Honolulu,8/23/2020,150,141,1920
Honolulu,8/24/2020,201,197,2375
Honolulu,8/25/2020,243,258,2835
Honolulu,8/26/2020,287,298,2862
Honolulu,8/27/2020,231,265,3091
Honolulu,8/28/2020,264,277,3719
Honolulu,8/29/2020,173,167,3084
Honolulu,8/30/2020,104,106,1406
Honolulu,8/31/2020,156,156,4048
Honolulu,9/1/2020,302,211,5917
Honolulu,9/2/2020,188,183,7998
Honolulu,9/3/2020,231,243,8363
Honolulu,9/4/2020,190,185,9292
Honolulu,9/5/2020,145,146,5646
Honolulu,9/6/2020,89,85,2508
Honolulu,9/7/2020,58,55,809
Honolulu,9/8/2020,86,90,1895
Honolulu,9/9/2020,157,155,8360
Honolulu,9/10/2020,143,136,4438
Honolulu,9/11/2020,112,112,6322
Honolulu,9/12/2020,93,97,5140
Honolulu,9/13/2020,71,69,2605
Honolulu,9/14/2020,60,64,1887
Honolulu,9/15/2020,94,127,4911
Honolulu,9/16/2020,134,98,3430
Honolulu,9/17/2020,109,101,5704
Honolulu,9/18/2020,103,114,7956
Honolulu,9/19/2020,71,74,2431
Honolulu,9/20/2020,49,47,1166
Honolulu,9/21/2020,53,53,1980
Honolulu,9/22/2020,154,154,3208
Honolulu,9/23/2020,81,93,2246
Honolulu,9/24/2020,96,94,2207
Honolulu,9/25/2020,123,123,3008
Honolulu,9/26/2020,87,92,2797
Honolulu,9/27/2020,89,88,1772
Honolulu,9/28/2020,80,85,2659
Honolulu,9/29/2020,94,98,2941
Honolulu,9/30/2020,101,89,2264
Honolulu,10/1/2020,69,69,2423
Honolulu,10/2/2020,87,88,3189
Honolulu,10/3/2020,53,56,2382
Honolulu,10/4/2020,41,40,1103
Honolulu,10/5/2020,67,79,2506
Honolulu,10/6/2020,90,81,2257
Honolulu,10/7/2020,86,88,2337
Honolulu,10/8/2020,107,103,2269
Honolulu,10/9/2020,58,55,1861
Honolulu,10/10/2020,79,79,2304
Honolulu,10/11/2020,37,34,764
Honolulu,10/12/2020,30,30,1694
Honolulu,10/13/2020,79,81,2807
Honolulu,10/14/2020,74,74,2419
Honolulu,10/15/2020,69,78,2329
Honolulu,10/16/2020,81,73,2829
Honolulu,10/17/2020,68,74,2220
Honolulu,10/18/2020,31,27,1057
Honolulu,10/19/2020,59,66,2877
Honolulu,10/20/2020,64,56,2404
Honolulu,10/21/2020,52,60,2758
Honolulu,10/22/2020,66,65,2656
Honolulu,10/23/2020,58,57,2547
Honolulu,10/24/2020,49,49,2736
Honolulu,10/25/2020,26,25,1548
Honolulu,10/26/2020,49,53,2989
Honolulu,10/27/2020,40,45,2494
Honolulu,10/28/2020,60,63,3232
Honolulu,10/29/2020,73,70,2444
Honolulu,10/30/2020,45,67,3312
Honolulu,10/31/2020,52,78,2282
Honolulu,11/1/2020,64,25,1229
Honolulu,11/2/2020,72,89,3240
Honolulu,11/3/2020,124,110,2952
Honolulu,11/4/2020,66,65,2602
Honolulu,11/5/2020,86,89,2282
Honolulu,11/6/2020,109,114,3804
Honolulu,11/7/2020,104,102,2999
Honolulu,11/8/2020,53,54,1934
Honolulu,11/9/2020,64,68,2548
Honolulu,11/10/2020,86,80,3222
Honolulu,11/11/2020,71,85,3207
Honolulu,11/12/2020,92,97,2604
Honolulu,11/13/2020,88,80,2975
Honolulu,11/14/2020,75,80,2422
Honolulu,11/15/2020,35,37,1602
Honolulu,11/16/2020,56,61,3695
Honolulu,11/17/2020,77,83,2840
Honolulu,11/18/2020,69,68,3670
Honolulu,11/19/2020,123,132,3455
Honolulu,11/20/2020,97,104,3390
Honolulu,11/21/2020,80,88,3893
Honolulu,11/22/2020,45,39,2296
Honolulu,11/23/2020,93,103,3851
Honolulu,11/24/2020,92,98,3782
Honolulu,11/25/2020,69,76,3744
Honolulu,11/26/2020,48,40,2448
Honolulu,11/27/2020,45,50,3560
Honolulu,11/28/2020,66,72,2773
Honolulu,11/29/2020,31,34,2612
Honolulu,11/30/2020,60,68,2795
Honolulu,12/1/2020,118,132,3545
Honolulu,12/2/2020,72,70,3325
Honolulu,12/3/2020,83,82,3341
Honolulu,12/4/2020,87,99,5061
Honolulu,12/5/2020,56,50,4407
Honolulu,12/6/2020,38,37,1599
Honolulu,12/7/2020,45,63,3038
Honolulu,12/8/2020,80,89,4266
Honolulu,12/9/2020,55,51,2956
Honolulu,12/10/2020,151,139,2862
Honolulu,12/11/2020,58,71,3147
Honolulu,12/12/2020,157,141,2649
Honolulu,12/13/2020,35,36,1696
Honolulu,12/14/2020,85,101,3039
Honolulu,12/15/2020,111,101,3502
Honolulu,12/16/2020,105,106,3206
Honolulu,12/17/2020,115,135,2991
Honolulu,12/18/2020,179,155,4073
Honolulu,12/19/2020,103,105,2253
Honolulu,12/20/2020,51,56,1952
Honolulu,12/21/2020,70,82,3872
Honolulu,12/22/2020,79,99,3422
Honolulu,12/23/2020,95,93,2763
Honolulu,12/24/2020,83,103,3105
Honolulu,12/25/2020,72,70,1797
Honolulu,12/26/2020,30,35,1628
Honolulu,12/27/2020,56,53,1963
Honolulu,12/28/2020,86,81,2803
Honolulu,12/29/2020,135,158,3527
Honolulu,12/30/2020,188,185,2920
Honolulu,12/31/2020,87,129,3542
Honolulu,1/1/2021,85,93,1476
Honolulu,1/2/2021,56,82,2339
Honolulu,1/3/2021,71,75,2145
Honolulu,1/4/2021,83,108,3131
Honolulu,1/5/2021,208,234,4292
Honolulu,1/6/2021,199,194,3732
Honolulu,1/7/2021,158,166,4233
Honolulu,1/8/2021,127,141,4173
Honolulu,1/9/2021,107,127,3296
Honolulu,1/10/2021,80,62,1681
Honolulu,1/11/2021,73,87,3170
Honolulu,1/12/2021,121,119,3887
Honolulu,1/13/2021,110,130,3759
Honolulu,1/14/2021,112,108,3328
Honolulu,1/15/2021,85,89,3104
Honolulu,1/16/2021,82,91,2699
Honolulu,1/17/2021,45,43,1705
Honolulu,1/18/2021,50,68,2447
Honolulu,1/19/2021,65,71,3259
Honolulu,1/20/2021,98,99,3110
Honolulu,1/21/2021,102,102,2694
Honolulu,1/22/2021,105,101,3598
Honolulu,1/23/2021,86,84,2347
Honolulu,1/24/2021,61,39,1547
Honolulu,1/25/2021,64,76,2990
Honolulu,1/26/2021,62,78,2880
Honolulu,1/27/2021,75,88,3518
Honolulu,1/28/2021,82,67,2664
Honolulu,1/29/2021,59,58,2909
Honolulu,1/30/2021,56,54,2084
Honolulu,1/31/2021,39,38,1440
Honolulu,2/1/2021,41,53,2763
Honolulu,2/2/2021,79,89,2965
Honolulu,2/3/2021,64,68,2903
Honolulu,2/4/2021,87,47,2140
Honolulu,2/5/2021,50,47,2569
Honolulu,2/6/2021,21,16,1577
Kauai,2/15/2020,0,0,0
Kauai,2/28/2020,0,0,0
Kauai,3/2/2020,0,0,0
Kauai,3/3/2020,0,0,0
Kauai,3/6/2020,0,0,0
Kauai,3/7/2020,0,0,0
Kauai,3/8/2020,0,0,0
Kauai,3/9/2020,0,0,0
Kauai,3/10/2020,0,0,0
Kauai,3/11/2020,0,0,0
Kauai,3/12/2020,0,0,0
